,totoff,vol,totbid,amount,last,low,high,open,avebid,aveoff,trade,bid1,bid2,bid3,bid4,bid5,bid6,bid7,bid8,bid9,bid10,ask1,ask2,ask3,ask4,ask5,ask6,ask7,ask8,ask9,ask10,bid_vol1,bid_vol2,bid_vol3,bid_vol4,bid_vol5,bid_vol6,bid_vol7,bid_vol8,bid_vol9,bid_vol10,ask_vol1,ask_vol2,ask_vol3,ask_vol4,ask_vol5,ask_vol6,ask_vol7,ask_vol8,ask_vol9,ask_vol10
93033000,15182470.0,6040430.0,5252470.0,75681822.0,124600.0,124500.0,125500.0,125500.0,120400.0,129400.0,2170.0,124600.0,124500.0,124400.0,124300.0,124200.0,124100.0,124000.0,123900.0,123800.0,123700.0,124700.0,124800.0,124900.0,125000.0,125100.0,125200.0,125300.0,125400.0,125500.0,125600.0,11000.0,271670.0,8000.0,19400.0,59200.0,101200.0,103600.0,53800.0,93200.0,49600.0,3500.0,131100.0,8500.0,198900.0,7300.0,289300.0,712930.0,3698620.0,557676.0,84100.0
93036000,15145370.0,6330130.0,5019070.0,79289860.0,124600.0,124500.0,125500.0,125500.0,120200.0,129400.0,2217.0,124500.0,124400.0,124300.0,124200.0,124100.0,124000.0,123900.0,123800.0,123700.0,123600.0,124600.0,124700.0,124800.0,124900.0,125000.0,125100.0,125200.0,125300.0,125400.0,125500.0,28370.0,8000.0,19400.0,59200.0,104200.0,106300.0,53800.0,93200.0,49600.0,27900.0,9100.0,35000.0,43000.0,10500.0,208900.0,8300.0,289300.0,714830.0,3683620.0,557076.0
93039000,14902970.0,6667430.0,5092670.0,83500491.0,124700.0,124500.0,125500.0,125500.0,120200.0,129500.0,2293.0,124600.0,124500.0,124400.0,124300.0,124200.0,124100.0,124000.0,123900.0,123800.0,123700.0,124800.0,125000.0,125100.0,125200.0,125300.0,125400.0,125500.0,125600.0,125700.0,125800.0,38000.0,64070.0,8000.0,19400.0,60200.0,104200.0,107000.0,53800.0,93200.0,49600.0,1800.0,30000.0,8300.0,289000.0,701230.0,3672420.0,553876.0,84100.0,98600.0,138500.0
93042000,15011500.0,6801340.0,4994700.0,85168998.0,124500.0,124500.0,125500.0,125500.0,120200.0,129500.0,2355.0,124400.0,124300.0,124200.0,124100.0,124000.0,123900.0,123800.0,123700.0,123600.0,123500.0,124500.0,124600.0,124700.0,124800.0,125000.0,125100.0,125200.0,125300.0,125400.0,125500.0,8000.0,19400.0,62300.0,104200.0,107500.0,53800.0,93200.0,49600.0,27900.0,108300.0,75530.0,6300.0,50400.0,1000.0,30200.0,6300.0,289500.0,700430.0,3657720.0,545576.0
93045000,15145660.0,6870540.0,5014800.0,86030344.0,124500.0,124300.0,125500.0,125500.0,120200.0,129400.0,2388.0,124400.0,124300.0,124200.0,124100.0,124000.0,123900.0,123800.0,123700.0,123600.0,123500.0,124500.0,124600.0,124700.0,124800.0,124900.0,125000.0,125100.0,125200.0,125300.0,125400.0,26200.0,18800.0,62300.0,106700.0,107500.0,53800.0,93200.0,49600.0,27900.0,108300.0,92830.0,35000.0,112400.0,17700.0,65100.0,30200.0,8300.0,289500.0,700430.0,3645720.0
93048000,15174360.0,6985740.0,4987600.0,87463572.0,124500.0,124300.0,125500.0,125500.0,120100.0,129400.0,2427.0,124400.0,124300.0,124200.0,124100.0,124000.0,123900.0,123800.0,123700.0,123600.0,123500.0,124500.0,124600.0,124700.0,124800.0,124900.0,125000.0,125100.0,125200.0,125300.0,125400.0,19400.0,5400.0,53300.0,106700.0,107500.0,53800.0,93200.0,49600.0,27900.0,108300.0,101830.0,37900.0,111500.0,18900.0,65100.0,32500.0,8300.0,289500.0,703430.0,3645320.0
93051000,15290160.0,7097940.0,5008100.0,88859270.0,124400.0,124300.0,125500.0,125500.0,120100.0,129400.0,2457.0,124300.0,124200.0,124100.0,124000.0,123900.0,123800.0,123700.0,123600.0,123500.0,123400.0,124400.0,124500.0,124600.0,124700.0,124800.0,124900.0,125000.0,125100.0,125200.0,125300.0,4500.0,51300.0,106700.0,107500.0,53800.0,93200.0,49600.0,27900.0,108300.0,5500.0,95600.0,118830.0,35400.0,118400.0,20900.0,65100.0,24100.0,8300.0,289500.0,703430.0
93054000,15182860.0,7290640.0,5040900.0,91255348.0,124400.0,124300.0,125500.0,125500.0,120100.0,129400.0,2483.0,124300.0,124200.0,124100.0,124000.0,123900.0,123800.0,123700.0,123600.0,123500.0,123400.0,124400.0,124500.0,124600.0,124700.0,124800.0,124900.0,125000.0,125100.0,125200.0,125300.0,46800.0,41300.0,106700.0,108000.0,53800.0,93200.0,49600.0,27900.0,108300.0,5500.0,44900.0,146130.0,14900.0,122200.0,20900.0,65100.0,37600.0,8300.0,288000.0,668430.0
93057000,15177760.0,7469540.0,5067500.0,93480282.0,124400.0,124300.0,125500.0,125500.0,120200.0,129400.0,2539.0,124300.0,124200.0,124100.0,124000.0,123900.0,123800.0,123700.0,123600.0,123500.0,123400.0,124400.0,124500.0,124600.0,124700.0,124800.0,124900.0,125000.0,125100.0,125200.0,125300.0,31900.0,42500.0,140000.0,112000.0,53800.0,93200.0,49600.0,27900.0,108300.0,5500.0,151200.0,149830.0,24000.0,118100.0,27100.0,65100.0,40200.0,8300.0,288000.0,665130.0
93100000,15172750.0,7552840.0,5037100.0,94516047.0,124300.0,124200.0,125500.0,125500.0,120100.0,129400.0,2573.0,124200.0,124100.0,124000.0,123900.0,123800.0,123700.0,123600.0,123500.0,123400.0,123300.0,124300.0,124400.0,124500.0,124600.0,124700.0,124800.0,124900.0,125000.0,125100.0,125200.0,40500.0,140000.0,114500.0,53800.0,93200.0,49600.0,27900.0,108300.0,5500.0,49600.0,17200.0,140190.0,158830.0,24000.0,118100.0,27100.0,65100.0,40700.0,8300.0,288000.0
